,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,2020-08-26,26,8,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,2.10820967
1,2020-08-25,25,8,2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia,2.67074941
2,2020-08-24,24,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
3,2020-08-23,23,8,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
4,2020-08-22,22,8,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,2.31061883
5,2020-08-21,21,8,2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia,2.41576644
6,2020-08-20,20,8,2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978
7,2020-08-19,19,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158
8,2020-08-18,18,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419
9,2020-08-17,17,8,2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966
10,2020-08-16,16,8,2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859
11,2020-08-15,15,8,2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575
12,2020-08-14,14,8,2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185049
13,2020-08-13,13,8,2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538
14,2020-08-12,12,8,2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491
15,2020-08-11,11,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159
16,2020-08-10,10,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408
17,2020-08-09,9,8,2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526
18,2020-08-08,8,8,2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786
19,2020-08-07,7,8,2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858
20,2020-08-06,6,8,2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525
21,2020-08-05,5,8,2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678
22,2020-08-04,4,8,2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749
23,2020-08-03,3,8,2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326
24,2020-08-02,2,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472
25,2020-08-01,1,8,2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901
26,2020-07-31,31,7,2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221
27,2020-07-30,30,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567
28,2020-07-29,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
29,2020-07-28,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
30,2020-07-27,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
31,2020-07-26,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
32,2020-07-25,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
33,2020-07-24,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
34,2020-07-23,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
35,2020-07-22,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
36,2020-07-21,21,7,2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082
37,2020-07-20,20,7,2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448
38,2020-07-19,19,7,2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696
39,2020-07-18,18,7,2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia,7.79406692
40,2020-07-17,17,7,2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia,8.01224823
41,2020-07-16,16,7,2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia,8.30140416
42,2020-07-15,15,7,2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia,8.47226904
43,2020-07-14,14,7,2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
44,2020-07-13,13,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
45,2020-07-12,12,7,2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
46,2020-07-11,11,7,2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
47,2020-07-10,10,7,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
48,2020-07-09,9,7,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
49,2020-07-08,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
50,2020-07-07,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
51,2020-07-06,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
52,2020-07-05,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
53,2020-07-04,4,7,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
54,2020-07-03,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
55,2020-07-02,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
56,2020-07-01,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
57,2020-06-30,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
58,2020-06-29,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
59,2020-06-28,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
60,2020-06-27,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
61,2020-06-26,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
62,2020-06-25,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
63,2020-06-24,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
64,2020-06-23,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
65,2020-06-22,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
66,2020-06-21,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
67,2020-06-20,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia,23.41900244
68,2020-06-19,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia,24.91472726
69,2020-06-18,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia,25.25382831
70,2020-06-17,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia,25.76379424
71,2020-06-16,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia,25.70070567
72,2020-06-15,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia,25.13290856
73,2020-06-14,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia,25.1749676
74,2020-06-13,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia,25.98986161
75,2020-06-12,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia,25.90311483
76,2020-06-11,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia,25.46412354
77,2020-06-10,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia,25.30903081
78,2020-06-09,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia,25.61395889
79,2020-06-08,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia,25.65601794
80,2020-06-07,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia,25.11187903
81,2020-06-06,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia,25.63761711
82,2020-06-05,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia,24.65185822
83,2020-06-04,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia,23.97891349
84,2020-06-03,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia,23.27968185
85,2020-06-02,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia,22.81177497
86,2020-06-01,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia,22.45164439
87,2020-05-31,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia,21.35285181
88,2020-05-30,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia,19.07640596
89,2020-05-29,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia,20.23302972
90,2020-05-28,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia,19.00543132
91,2020-05-27,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia,18.04333065
92,2020-05-26,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia,17.04968569
93,2020-05-25,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia,16.24530644
94,2020-05-24,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia,15.68013801
95,2020-05-23,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia,14.29481819
96,2020-05-22,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia,13.44049382
97,2020-05-21,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia,12.49416529
98,2020-05-20,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia,11.64246962
99,2020-05-19,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia,10.98266833
100,2020-05-18,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia,10.40961384
101,2020-05-17,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,10.3386392
102,2020-05-16,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia,10.6908837
103,2020-05-15,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia,8.32769107
104,2020-05-14,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia,8.61421832
