,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
95,2020-02-26,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
96,2020-02-25,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
97,2020-02-24,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
98,2020-02-23,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
99,2020-02-22,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
100,2020-02-21,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
101,2020-02-20,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
102,2020-02-19,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
103,2020-02-18,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
104,2020-02-17,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
105,2020-02-16,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
106,2020-02-15,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
107,2020-02-14,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
108,2020-02-13,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
109,2020-02-12,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
110,2020-02-11,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
111,2020-02-10,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
112,2020-02-09,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
113,2020-02-08,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
114,2020-02-07,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
115,2020-02-06,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
116,2020-02-05,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
117,2020-02-04,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
118,2020-02-03,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
119,2020-02-02,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
120,2020-02-01,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
121,2020-01-31,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
122,2020-01-30,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
123,2020-01-29,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
124,2020-01-28,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
125,2020-01-27,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
126,2020-01-26,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
127,2020-01-25,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
128,2020-01-24,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
129,2020-01-23,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
130,2020-01-22,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
131,2020-01-21,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
132,2020-01-20,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
133,2020-01-19,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
134,2020-01-18,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
135,2020-01-17,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
136,2020-01-16,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
137,2020-01-15,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
138,2020-01-14,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
139,2020-01-13,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
140,2020-01-12,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
141,2020-01-11,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
142,2020-01-10,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
143,2020-01-09,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
144,2020-01-08,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
145,2020-01-07,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
146,2020-01-06,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
147,2020-01-05,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
148,2020-01-04,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
149,2020-01-03,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
150,2020-01-02,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
151,2020-01-01,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
152,2019-12-31,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0,Asia
